epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.312,0.98993,2.55929,1.37432,0.53038,0.481,0.46956,0.32004,1.05386,1.89811,1.45222,0.000332265,0.000332265,0.000332265
2,197.295,1.04124,1.87888,1.40859,0.50628,0.48506,0.46362,0.30242,1.11243,1.92842,1.54966,0.000643634,0.000643634,0.000643634
3,286.387,1.04576,1.76489,1.41555,0.55096,0.39123,0.43552,0.2721,1.25921,1.93486,1.6492,0.000933002,0.000933002,0.000933002
4,374.418,1.026,1.63965,1.40266,0.62164,0.53212,0.57449,0.38639,1.08464,1.58016,1.5079,0.000901,0.000901,0.000901
5,462.464,1.01545,1.54408,1.38773,0.65608,0.51201,0.58551,0.40898,1.0186,1.57208,1.46292,0.000868,0.000868,0.000868
6,550.39,0.97012,1.42037,1.35839,0.57369,0.54987,0.56659,0.38966,1.00403,1.5845,1.40638,0.000835,0.000835,0.000835
