epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1876.58,0.80642,0.86587,1.2285,0.80753,0.69046,0.78644,0.60429,0.82973,0.90847,1.21923,0.0005941,0.0005941,0.0005941
43,1920.7,0.79849,0.84567,1.21603,0.7723,0.69542,0.77987,0.59005,0.84875,0.90788,1.24153,0.0005842,0.0005842,0.0005842
44,1964.85,0.77979,0.82674,1.2059,0.75403,0.70312,0.76652,0.59455,0.81169,0.88582,1.20537,0.0005743,0.0005743,0.0005743
45,2009.14,0.78563,0.83924,1.20759,0.76926,0.70059,0.7806,0.6052,0.81723,0.88013,1.20073,0.0005644,0.0005644,0.0005644
46,2053.44,0.77358,0.82311,1.19681,0.78038,0.67765,0.77035,0.5982,0.80562,0.90781,1.18556,0.0005545,0.0005545,0.0005545
47,2097.59,0.7762,0.83296,1.20066,0.79145,0.68416,0.79147,0.6168,0.79932,0.84724,1.17904,0.0005446,0.0005446,0.0005446
48,2141.57,0.77812,0.81732,1.20425,0.81693,0.70448,0.80277,0.62632,0.81084,0.82434,1.20061,0.0005347,0.0005347,0.0005347
49,2185.81,0.79132,0.82401,1.21445,0.80882,0.69266,0.79435,0.61853,0.80576,0.84219,1.19221,0.0005248,0.0005248,0.0005248
50,2229.57,0.77226,0.80755,1.20143,0.81017,0.70124,0.79232,0.61591,0.80336,0.84107,1.18921,0.0005149,0.0005149,0.0005149
51,2273.54,0.7821,0.78722,1.20313,0.77004,0.70608,0.77816,0.60699,0.79973,0.86899,1.18561,0.000505,0.000505,0.000505
52,2317.68,0.78021,0.78658,1.20126,0.79791,0.71126,0.79452,0.61868,0.80604,0.83899,1.18531,0.0004951,0.0004951,0.0004951
53,2361.7,0.76287,0.77405,1.18944,0.79963,0.73518,0.8148,0.63223,0.80101,0.80618,1.18874,0.0004852,0.0004852,0.0004852
54,2405.45,0.75475,0.76817,1.18796,0.79115,0.71745,0.79579,0.62035,0.80503,0.84092,1.18615,0.0004753,0.0004753,0.0004753
55,2449.58,0.75811,0.77032,1.18987,0.83277,0.7011,0.80528,0.62963,0.8024,0.80778,1.18381,0.0004654,0.0004654,0.0004654
56,2493.52,0.76817,0.78145,1.20325,0.79427,0.7374,0.82142,0.64473,0.79547,0.7685,1.17757,0.0004555,0.0004555,0.0004555
57,2537.74,0.76254,0.76118,1.18983,0.79672,0.72099,0.79849,0.63136,0.78629,0.81029,1.18015,0.0004456,0.0004456,0.0004456
58,2581.81,0.74982,0.74899,1.17822,0.82165,0.71881,0.81321,0.62918,0.81563,0.82165,1.19941,0.0004357,0.0004357,0.0004357
59,2625.71,0.75588,0.75156,1.19074,0.81135,0.72648,0.81367,0.63763,0.80066,0.79327,1.1855,0.0004258,0.0004258,0.0004258
60,2669.92,0.7524,0.74628,1.18695,0.77411,0.73451,0.79477,0.62269,0.79603,0.83584,1.18246,0.0004159,0.0004159,0.0004159
61,2714.02,0.75069,0.72579,1.17761,0.82078,0.73324,0.82473,0.64769,0.78948,0.76779,1.17082,0.000406,0.000406,0.000406
62,2757.94,0.7395,0.72052,1.17461,0.79642,0.72175,0.81166,0.63996,0.77847,0.78148,1.16635,0.0003961,0.0003961,0.0003961
63,2802.12,0.73378,0.71692,1.17812,0.82093,0.72847,0.81932,0.64891,0.78217,0.75761,1.15873,0.0003862,0.0003862,0.0003862
64,2846.11,0.73337,0.69422,1.17379,0.81481,0.72705,0.81544,0.64468,0.78494,0.78516,1.17799,0.0003763,0.0003763,0.0003763
65,2890.3,0.74009,0.70408,1.17219,0.79415,0.75984,0.82105,0.64987,0.78402,0.76097,1.17567,0.0003664,0.0003664,0.0003664
66,2934.96,0.74927,0.70217,1.17283,0.7955,0.73519,0.81552,0.64096,0.79382,0.76479,1.17614,0.0003565,0.0003565,0.0003565
67,2979.19,0.72667,0.69014,1.16687,0.81647,0.73773,0.82056,0.64797,0.78084,0.77159,1.1594,0.0003466,0.0003466,0.0003466
68,3023.52,0.73277,0.68937,1.16719,0.80075,0.7358,0.8134,0.6454,0.78062,0.77823,1.16941,0.0003367,0.0003367,0.0003367
69,3067.61,0.74233,0.69144,1.17241,0.81299,0.74239,0.82268,0.65123,0.77417,0.75015,1.16386,0.0003268,0.0003268,0.0003268
70,3111.57,0.72935,0.68235,1.16253,0.81983,0.72429,0.81471,0.64471,0.7724,0.76716,1.16408,0.0003169,0.0003169,0.0003169
71,3155.83,0.73037,0.67443,1.16379,0.81391,0.74416,0.82126,0.64747,0.77883,0.75842,1.16809,0.000307,0.000307,0.000307
72,3199.77,0.70993,0.66221,1.1537,0.81252,0.74867,0.82534,0.6502,0.78082,0.7527,1.17321,0.0002971,0.0002971,0.0002971
73,3243.78,0.71891,0.662,1.1527,0.82429,0.75249,0.83631,0.6596,0.77301,0.72304,1.15483,0.0002872,0.0002872,0.0002872
74,3287.75,0.71467,0.6539,1.15163,0.82498,0.74758,0.8276,0.65484,0.77128,0.7304,1.14961,0.0002773,0.0002773,0.0002773
75,3331.72,0.71518,0.65557,1.16377,0.8263,0.74961,0.83059,0.65221,0.78774,0.73552,1.17331,0.0002674,0.0002674,0.0002674
